time_series,FiT,FiT_large,exp_tar
01/01/2010,0,0,0
01/02/2010,0,0,0
01/03/2010,0,0,0
01/04/2010,49.43,43.11,3.48
01/05/2010,49.43,43.11,3.48
01/06/2010,49.43,43.11,3.48
01/07/2010,49.43,43.11,3.48
01/08/2010,49.43,43.11,3.48
01/09/2010,49.43,43.11,3.48
01/10/2010,49.43,43.11,3.48
01/11/2010,49.43,43.11,3.48
01/12/2010,49.43,43.11,3.48
01/01/2011,49.43,43.11,3.48
01/02/2011,49.43,43.11,3.48
01/03/2011,49.43,43.11,3.48
01/04/2011,49.43,43.11,3.48
01/05/2011,49.43,43.11,3.48
01/06/2011,49.43,43.11,3.48
01/07/2011,49.43,43.11,3.48
01/08/2011,49.43,43.11,3.48
01/09/2011,49.43,43.11,3.48
01/10/2011,49.43,43.11,3.48
01/11/2011,49.43,43.11,3.48
01/12/2011,49.43,43.11,3.48
01/01/2012,22.86,18.29,3.48
01/02/2012,49.43,43.11,3.48
01/03/2012,22.86,18.29,3.48
01/04/2012,22.86,18.29,3.48
01/05/2012,22.86,18.29,3.48
01/06/2012,22.86,18.29,3.48
01/07/2012,22.86,18.29,3.48
01/08/2012,17.43,15.79,4.91
01/09/2012,17.43,15.79,4.91
01/10/2012,17.43,15.79,4.91
01/11/2012,16.3,14.78,4.91
01/12/2012,16.3,14.78,4.91
01/01/2013,16.3,14.78,4.91
01/02/2013,16.3,14.78,4.91
01/03/2013,16.3,14.78,4.91
01/04/2013,16.3,14.78,4.91
01/05/2013,16.3,14.78,4.91
01/06/2013,16.3,14.78,4.91
01/07/2013,15.73,14.25,4.91
01/08/2013,15.73,14.25,4.91
01/09/2013,15.73,14.25,4.91
01/10/2013,15.73,14.25,4.91
01/11/2013,15.73,14.25,4.91
01/12/2013,15.73,14.25,4.91
01/01/2014,15.32,13.88,4.91
01/02/2014,15.32,13.88,4.91
01/03/2014,15.32,13.88,4.91
01/04/2014,14.79,13.4,4.91
01/05/2014,14.79,13.4,4.91
01/06/2014,14.79,13.4,4.91
01/07/2014,14.79,13.4,4.91
01/08/2014,14.79,13.4,4.91
01/09/2014,14.79,13.4,4.91
01/10/2014,14.79,13.4,4.91
01/11/2014,14.79,13.4,4.91
01/12/2014,14.79,13.4,4.91
01/01/2015,14.05,12.72,4.91
01/02/2015,14.05,12.72,4.91
01/03/2015,14.05,12.72,4.91
01/04/2015,13.55,12.28,4.91
01/05/2015,13.55,12.28,4.91
01/06/2015,13.55,12.28,4.91
01/07/2015,13.08,11.85,4.91
01/08/2015,13.08,11.85,4.91
01/09/2015,13.08,11.85,4.91
01/10/2015,12.62,11.44,4.91
01/11/2015,12.62,11.44,4.91
01/12/2015,12.62,11.44,4.91
01/01/2016,0,0,0
01/02/2016,4.39,4.39,4.85
01/03/2016,4.39,4.39,4.85
01/04/2016,4.32,4.32,4.91
01/05/2016,4.32,4.32,4.91
01/06/2016,4.32,4.32,4.91
01/07/2016,4.25,4.25,4.91
01/08/2016,4.25,4.25,4.91
01/09/2016,4.25,4.25,4.91
01/10/2016,4.18,4.18,4.91
01/11/2016,4.18,4.18,4.91
01/12/2016,4.18,4.18,4.91
01/01/2017,4.11,4.11,4.91
01/02/2017,4.11,4.11,4.91
01/03/2017,4.11,4.11,4.91
01/04/2017,4.04,4.04,4.91
01/05/2017,4.04,4.04,4.91
01/06/2017,4.04,4.04,4.91
01/07/2017,3.97,3.97,4.91
01/08/2017,3.97,3.97,4.91
01/09/2017,3.97,3.97,4.91
01/10/2017,3.9,3.9,4.91
01/11/2017,3.9,3.9,4.91
01/12/2017,3.9,3.9,4.91
01/01/2018,3.83,3.83,4.91
01/02/2018,3.83,3.83,4.91
01/03/2018,3.83,3.83,4.91
01/04/2018,3.76,3.76,4.91
01/05/2018,3.76,3.76,4.91
01/06/2018,3.76,3.76,4.91
01/07/2018,3.69,3.69,4.91
01/08/2018,3.69,3.69,4.91
01/09/2018,3.69,3.69,4.91
01/10/2018,3.62,3.62,4.91
01/11/2018,3.62,3.62,4.91
01/12/2018,3.62,3.62,4.91
01/01/2019,3.55,3.55,4.91
01/02/2019,3.55,3.55,4.91
01/03/2019,3.55,3.55,4.91
